first.name,gender,conf,num.samples
dari,female,0.50,6.0
darin,male,0.98,103.0
darla,female,1.00,119.0
darlene,female,1.00,416.0
darran,male,1.00,13.0
darrell,male,1.00,277.0
darren,male,0.99,1095.0
darron,male,1.00,13.0
daryl,male,0.92,272.0
database,None,0.0,0.0
dave,male,1.00,2606.0
david,male,1.00,12597.0
davis,male,0.95,76.0
dawn,female,1.00,1507.0
deb,female,0.99,542.0
debbie,female,1.00,2180.0
debi,female,1.00,156.0
deborah,female,0.99,1417.0
debra,female,1.00,675.0
dee,female,0.85,491.0
deirdre,female,1.00,130.0
delene,female,1.00,3.0
denis,male,0.93,577.0
denise,female,1.00,1844.0
dennis,male,0.99,1279.0
denver,male,0.97,39.0
derek,male,1.00,1169.0
deshonda,female,1.00,2.0
diana,female,0.99,2885.0
diane,female,0.99,1649.0
diann,female,1.00,19.0
dianne,female,1.00,416.0
dina,female,0.97,489.0
dinah,female,1.00,61.0
ding,female,0.61,18.0
dirk,male,1.00,213.0
don,male,0.99,1025.0
dona,female,0.95,63.0
donald,male,1.00,493.0
donna,female,1.00,2227.0
donnis,female,1.00,2.0
dorie,female,0.94,17.0
dorothy,female,0.99,474.0
dortha,female,1.00,2.0
doug,male,1.00,891.0
douglas,male,1.00,611.0
drew,male,0.95,710.0
duong,male,0.71,21.0
dustin,male,1.00,529.0
dutch,male,0.88,8.0
dwight,male,0.99,117.0
e-mail,None,0.0,0.0
earl,male,1.00,201.0
earlene,female,1.00,7.0
ect,None,0.0,0.0
eddie,male,0.99,679.0
eddy,male,0.97,351.0
edie,female,0.88,50.0
edith,female,1.00,373.0
edmund,male,1.00,129.0
eduardo,male,1.00,1644.0
edward,male,1.00,1015.0
edwin,male,1.00,819.0
elaine,female,1.00,1154.0
elena,female,1.00,1645.0
elizabeth,female,1.00,3510.0
ellen,female,1.00,942.0
elliot,male,1.00,227.0
ellis,male,0.63,73.0
elsa,female,1.00,404.0
elspeth,female,1.00,19.0
email,None,0.0,0.0
emily,female,1.00,3765.0
emmanuel,male,1.00,761.0
ena,female,0.98,56.0
enron,None,0.0,0.0
eric,male,1.00,4110.0
erica,female,1.00,1281.0
erika,female,0.99,1544.0
erin,female,0.99,2097.0
ernest,male,0.99,147.0
